created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Nov 16 06:44:30 +0000 2023;1725042137836945731;"@Miduk17 Penghargaan karna sudah membatalkan piala dunia U-20 karna di tolak ganjar,jadi biar kelihatan seolah olah karna ganjar presiden fifa membatalkan,dan si kodok bisa menjalankan strategi kekecewaanya ke PDIP,sangat mudah dibaca langkahnya pengkhianat rakyat yg sok sederhana";0;0;0;0;in;1464772780105347076;1723893570997023127;Ardika_Soma;https://twitter.com/Ardika_Soma/status/1725042137836945731
Thu Nov 16 06:17:34 +0000 2023;1725035363666932165;"Secara umum, secara nasional menunjukkan bahwa lambat tapi pasti elektabilitas Prabowo Subianto terus mengalami kenaikan. Sementara itu, meskipun elektabilitas Ganjar Pranowo sempat anjlok pasca gonjang-ganjing Piala Dunia U-20, namun secara umum cenderung mandek atau stagnan. https://t.co/fi9P7vTyxV";0;0;0;0;in;1710871068171501568;1725035363666932165;ZoyaColeb;https://twitter.com/ZoyaColeb/status/1725035363666932165
Thu Nov 16 06:09:46 +0000 2023;1725033399772209397;"@kartarahardja 🤣🤣🤣 Saya juga berhenti mendukung ganjar gara-gara momen piala dunia U-20.. dan alhamdulillah keputusan saya tepat sampai sekarang tidak lagi mendukung ganjar pranowo..";0;0;0;1;in;1494954870591295490;1725024000093671673;b_a_p_a_k_k_u;https://twitter.com/b_a_p_a_k_k_u/status/1725033399772209397
Thu Nov 16 04:38:11 +0000 2023;1725010352323338250;"@FajarGultom4 @Paltiwest Yg menolak piala dunia u 20 siapa? Setahuku yg ditolak pertandingan timnas Israel saja. Karena berpotensi terjadinya demo besar besaran yg berpotensi menjadi kerusuhan yg imbasnya akan merusak citra Indonesia di dunia internasional.";0;0;0;0;in;840755203418677248;1724807546744295605;bukan_kadal;https://twitter.com/bukan_kadal/status/1725010352323338250
Thu Nov 16 04:13:42 +0000 2023;1725004187640168490;"@Paltiwest Pro Piala Dunia U-20 bukan Pro Israel, bedakan..";0;0;1;1;in;1625452859113484289;1724807546744295605;MaxVers38316960;https://twitter.com/MaxVers38316960/status/1725004187640168490
Thu Nov 16 03:48:06 +0000 2023;1724997748280476014;"@matawardha @RaniKancana Dr postingan ini aja... Udah kelihatan,, itu... Berita lama saat ada yg protes ke gp... Waktu RI gagal jd tuan rumah piala dunia u 20 ,, ko framingnya... Malah seakan akan pdip dukung israel..hadehh🤭🤭https://t.co/MCFr0YhUNF";0;1;0;0;in;1607379345919868928;1724969142640590968;TerahirPejuang;https://twitter.com/TerahirPejuang/status/1724997748280476014
Thu Nov 16 03:12:38 +0000 2023;1724988820033331566;"@sepedatua74 Yup karena mereka mendukung timnas Israel hadir di Piala Dunia U-20";0;6;0;1;in;214159664;1724807546744295605;Paltiwest;https://twitter.com/Paltiwest/status/1724988820033331566
Thu Nov 16 03:03:12 +0000 2023;1724986446115958901;"@HusinShihab Request theme song piala dunia u 20 dong";0;0;0;0;en;1480219195279171587;1724781934847655994;firstday_01;https://twitter.com/firstday_01/status/1724986446115958901
Thu Nov 16 02:29:49 +0000 2023;1724978047483625975;"@Paltiwest Ada beberapa teman yang masih menjadikan ajang Piala Dunia U-20 dasar untuk memilih Prabowo - Gibran✌️✌️";0;1;1;2;in;1716644111758065665;1724807546744295605;sepedatua74;https://twitter.com/sepedatua74/status/1724978047483625975
Thu Nov 16 02:20:42 +0000 2023;1724975751395758554;"@elkhentilzm @titann08_ @FaktaSepakbola Lu jawab aja dulu pertanyaan gua.. kalo lu bilang konstitusi kenapa cuma mempermasalahkan pas gelaran piala dunia u-20? Tapi di Bali ada pertemuan dan disitu ada perwakilan dari Israel gak di permasalahin?? Terima kenyataan nya aja semua tergantung kepentingan sekarang mah..";0;1;0;0;in;1652727894383394816;1724002218599477713;Haniifryhn;https://twitter.com/Haniifryhn/status/1724975751395758554
Wed Nov 15 22:03:04 +0000 2023;1724910915152409037;"@GunRomli 3. Piala Dunia U 20 dia batalkan👎👎👎";0;0;0;0;in;718077344624148480;1724708608422879560;janes_witak;https://twitter.com/janes_witak/status/1724910915152409037
Wed Nov 15 18:04:53 +0000 2023;1724850974307819841;"PILDUN U-20 utk ALASAN milih Capres-Cawapres..  -  AMIN,  MEMBISU Soal Dukung atau Tolak Timnas Israel  -  Prabowo-Gibran,  Dukung Timnas Israel datang di Piala Dunia U-20.  - GANJAR MAHFUD, ✅ TOLAK Timnas Israel di PilDun U-20  Dukung Prabowo-Gibran = PRO ISRAEL.‼️ https://t.co/6L0cM7KeWC";0;1;0;1;in;376775473;1724850974307819841;ColyMcGregor;https://twitter.com/ColyMcGregor/status/1724850974307819841
Wed Nov 15 15:43:20 +0000 2023;1724815352952197226;"@gibran_tweet yg ngebatalin Piala Dunia U-20 siapa???? https://t.co/gZmZM8L0g5";0;0;0;0;in;221709394;1724103496604188993;AkbarELF;https://twitter.com/AkbarELF/status/1724815352952197226
Wed Nov 15 15:38:40 +0000 2023;1724814178366677136;"@gibran_tweet slalu ingat siapa yg ngebatalin Piala Dunia U-20 https://t.co/WhGypa3bdE";0;0;0;0;in;221709394;1724705172767887835;AkbarELF;https://twitter.com/AkbarELF/status/1724814178366677136
Wed Nov 15 15:12:19 +0000 2023;1724807546744295605;"Ada beberapa teman yang masih menjadikan ajang Piala Dunia U-20 dasar untuk memilih Paslon Capres dan Cawapres..  - Anies - Muhaimin, Tidak bersuara Soal Dukung atau Menolak Kedatangan Timnas Israel - Prabowo - Gibran, Mendukung Kedatangan Timnas Israel di Piala Dunia U-20  3️⃣…";13;128;71;430;in;214159664;1724807546744295605;Paltiwest;https://twitter.com/Paltiwest/status/1724807546744295605
Wed Nov 15 14:46:54 +0000 2023;1724801153060511845;"@GOAL_ID Soon piala Dunia U-20 dulu";0;0;0;0;in;1037963217354412035;1724641205013897388;dimas_irsyadul;https://twitter.com/dimas_irsyadul/status/1724801153060511845
Wed Nov 15 12:35:07 +0000 2023;1724767986521964729;"@GunRomli Mending 2 orang ini bang, bukan kayak yg Ono geng bandeng...membuat semangat anak muda ambyar pas piala dunia U-20 dibatalkan..🤣🤣🤣";0;3;1;8;in;1330293676304707588;1724689009564377274;FrenkyPau;https://twitter.com/FrenkyPau/status/1724767986521964729
Wed Nov 15 11:56:51 +0000 2023;1724758357503000983;"@GunRomli Semenjak batalnya piala dunia U 20 ..  Sy tidak tertarik sama sekali";0;0;0;0;in;275910050;1724708608422879560;ody_odank;https://twitter.com/ody_odank/status/1724758357503000983
Wed Nov 15 11:36:16 +0000 2023;1724753179282440476;"@narkosun Piala Dunia U-20 masih anget nih";0;0;0;1;in;449920989;1724737578686194098;samuelchelsib;https://twitter.com/samuelchelsib/status/1724753179282440476
Wed Nov 15 09:48:33 +0000 2023;1724726068849037320;"No : 3 betul² metal nih (menangis total) Efek penolakan piala dunia U-20, bisa sekrusial ini ya #TimnasDay  #WorldCupU17  #WorldCup2023  👇";0;1;0;7;in;773236758796394496;1724726068849037320;adri_7i;https://twitter.com/adri_7i/status/1724726068849037320
Wed Nov 15 09:02:53 +0000 2023;1724714577022349451;"@idextratime Ini akun sepakbola bukan politik, bukan agama, bukan yang lainnnya. Ingat siapa yang menggagalkan mimpi anak-anak muda untuk tampil di piala dunia u-20. Ingat orangnya dan partainya";0;0;0;1;in;1665564484780584961;1724603468667900135;iqbaalenathea;https://twitter.com/iqbaalenathea/status/1724714577022349451
Wed Nov 15 07:32:06 +0000 2023;1724691731613176060;"@FT_IDN Artinya: "Masih sakit hati, krn peluangnya jadi pelatih utama timnas U-20 di piala dunia gagal, kegeser STY."  Sudah 3-4tahun msh aja nyinyir + banggain lokal prett, pdhl ada banyak waktu utk membuktikan emg dia pelatih top. Tapi 3-4tahun ini tim mana aja yg sukses dia poles?🤔";0;1;0;34;in;943196997627940864;1724680451263189002;XicXvra;https://twitter.com/XicXvra/status/1724691731613176060
Wed Nov 15 06:41:13 +0000 2023;1724678925526470970;"@honeyandpois0n si piala dunia u-20 ya";0;0;0;0;in;357617446;1724598580982477279;mokskri;https://twitter.com/mokskri/status/1724678925526470970
Wed Nov 15 04:16:37 +0000 2023;1724642536822854060;"Sudah teruji... Pernah menolak keberadaan Timnas Israel saat Piala Dunia U-20";1;0;0;0;in;1323322683963052038;1724642536822854060;sulemarbun;https://twitter.com/sulemarbun/status/1724642536822854060
Wed Nov 15 02:02:27 +0000 2023;1724608770469458180;"Pancen blunder terus penggagal piala dunia U-20 😂";0;0;0;0;in;550175606;1724608770469458180;siiiuuu_7;https://twitter.com/siiiuuu_7/status/1724608770469458180
Wed Nov 15 01:44:15 +0000 2023;1724604193502265547;"@Freestory_Ky @kurawa Yoi, gak ada yang lupa sama permainan ayat &amp  mayat sama ego elit parpol yang membatalkan penyelenggaraan piala dunia U-20 di sini.";0;0;0;0;in;726934673683677184;1724595238579453978;nusantaranimist;https://twitter.com/nusantaranimist/status/1724604193502265547
Tue Nov 14 22:05:35 +0000 2023;1724549161230487850;"@idextratime Ini akun sepakbola bukan politik, bukan agama, bukan yang lainnnya. Ingat siapa yang menggagalkan mimpi anak-anak muda untuk tampil di piala dunia u-20. Ingat orangnya dan partainya.";0;0;0;0;in;1665564484780584961;1724424771624956321;iqbaalenathea;https://twitter.com/iqbaalenathea/status/1724549161230487850
